state,Location,White,Black,Hispanic,total,year,,,,,,,,
US,United States,193573200,35033200,45753600,295269800,2008,,,,,,,,
AL,Alabama,3108700,1169700,124800,4526900,2008,,,,,,,,
AK,Alaska,433100,18700,34600,654700,2008,,,,,,,,
AZ,Arizona,3704300,214500,1922100,6363000,2008,,,,,,,,
AR,Arkansas,2096900,422400,152500,2769700,2008,,,,,,,,
CA,California,15080500,2071300,13174300,35882000,2008,,,,,,,,
CO,Colorado,3422900,160700,967900,4816700,2008,,,,,,,,
CT,Connecticut,2498400,298400,410400,3383800,2008,,,,,,,,
DE,Delaware,571900,168500,60800,844200,2008,,,,,,,,
DC,District of Columbia,176700,301800,48800,558900,2008,,,,,,,,
FL,Florida,10772300,2598100,3771200,17874300,2008,,,,,,,,
GA,Georgia,5466500,2726500,761300,9376400,2008,,,,,,,,
HI,Hawaii,290100,23800,100400,1229000,2008,,,,,,,,
ID,Idaho,1259500,8400,154600,1484300,2008,,,,,,,,
IL,Illinois,8094900,1775900,1931100,12556000,2008,,,,,,,,
IN,Indiana,5143900,515100,314100,6172900,2008,,,,,,,,
IA,Iowa,2609000,77500,118700,2894000,2008,,,,,,,,
KS,Kansas,2172500,140800,259600,2701400,2008,,,,,,,,
KY,Kentucky,3649900,296600,95900,4143600,2008,,,,,,,,
LA,Louisiana,2658000,1335400,146100,4273800,2008,,,,,,,,
ME,Maine,1215200,9700,12000,1274100,2008,,,,,,,,
MD,Maryland,3143000,1555700,365200,5470000,2008,,,,,,,,
MA,Massachusetts,4932400,350600,536700,6265100,2008,,,,,,,,
MI,Michigan,7594800,1317400,396100,9764400,2008,,,,,,,,
MN,Minnesota,4326700,233700,212800,5084500,2008,,,,,,,,
MS,Mississippi,1661000,1054600,51400,2826800,2008,,,,,,,,
MO,Missouri,4729200,618900,175800,5728200,2008,,,,,,,,
MT,Montana,824400,2900,29600,938500,2008,,,,,,,,
NE,Nebraska,1442000,70500,143400,1721000,2008,,,,,,,,
NV,Nevada,1447500,181000,664100,2556800,2008,,,,,,,,
NH,New Hampshire,1185300,8000,37700,1275300,2008,,,,,,,,
NJ,New Jersey,5240200,1085700,1399200,8494600,2008,,,,,,,,
NM,New Mexico,803100,36000,876200,1934000,2008,,,,,,,,
NY,New York,11360200,2748600,3154900,18944000,2008,,,,,,,,
NC,North Carolina,5975700,1853900,657500,8886300,2008,,,,,,,,
ND,North Dakota,550200,4200,12600,610300,2008,,,,,,,,
OH,Ohio,9210900,1276300,285400,11157500,2008,,,,,,,,
OK,Oklahoma,2507300,238200,267200,3508800,2008,,,,,,,,
OR,Oregon,2963100,63000,408300,3711900,2008,,,,,,,,
PA,Pennsylvania,9799700,1176300,566700,12002700,2008,,,,,,,,
RI,Rhode Island,793100,47200,115500,1009400,2008,,,,,,,,
SC,South Carolina,2819300,1205500,167900,4318400,2008,,,,,,,,
SD,South Dakota,662700,6700,21300,769900,2008,,,,,,,,
TN,Tennessee,4662800,970400,228400,6045200,2008,,,,,,,,
TX,Texas,11213000,2591500,8626100,23643000,2008,,,,,,,,
