state,location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,White2010,Black2010,Hispanic2010,Total2010,White2011,Black2011,Hispanic2011,Total2011,White2012,Black2012,Hispanic2012,Total2012,White2013,Black2013,Hispanic2013,Total2013,White2014,Black2014,Hispanic2014,Total2014,White2015,Black2015,Hispanic2015,Total2015,White2016,Black2016,Hispanic2016,Total2016,White2017,Black2017,Hispanic2017,Total2017,White2018,Black2018,Hispanic2018,Total2018,White2019,Black2019,Hispanic2019,Total2019
AL,Alabama,1.286711487,0,0,0.883606883,0.320389594,0,0,0.218861483,0.638365784,0.825014438,0,0.644967107,0.319519443,0,0,0.213857998,0.635788537,0.819537781,0,0.638841567,0,1.622191581,0,0.425007438,0.31958071,0.805477245,0,0.424259137,0.319345979,0,5.319148936,0.422824042,1.281312064,0,0,0.845648084,0.961815908,1.587427574,0,1.054540853,0.641930928,0.795355126,0,0.63123343,0.962402156,0.791452315,0,0.839084559
AK,Alaska,6.926806742,0,86.70520231,9.164502826,16.12903226,0,95.92326139,16.44490955,18.21078989,146.3414634,0,16.0677768,13.59003398,50.25125628,0,10.04160092,15.68451714,381.3559322,24.81389578,24.07250071,27.21088435,296.6101695,0,26.94653241,25.13136852,333.3333333,0,25.47410133,34.45107947,349.3449782,0,32.50883392,50.09107468,338.1642512,0,40.565114,43.87990762,444.4444444,0,38.02281369,28.16240319,193.236715,0,22.56381328,21.37259558,460.5263158,0,22.80176714
AZ,Arizona,1.349782685,0,0,0.785792865,2.431118314,0,0.504083073,1.548490996,1.653530287,8.467400508,0,1.278588438,1.10050348,12.74426508,0,1.106806862,2.738975623,20.21018593,0,2.348777853,1.632653061,44.01760704,0,2.629259013,1.081987611,7.785130401,0,0.915164272,1.076745,3.785011355,0,0.751303512,3.728461477,7.407407407,0.479041916,2.514458134,1.595065929,22.2057735,0,1.754052592,3.145395927,20.2020202,0,2.569849949,2.861825845,19.56947162,0,2.395040857
AR,Arkansas,1.907577853,4.734848485,0,2.166299599,2.379705868,4.70698988,0,2.503487,4.257734885,2.257336343,28.04262479,5.292872265,5.652911249,0,86.29989213,9.826285313,8.00904551,4.563084645,41.64497657,9.439899308,2.835404754,54.24954792,75.91093117,15.68709475,7.548950224,9.051821679,84.40913605,12.84722222,12.34567901,2.240143369,53.84238864,13.18391562,12.76656107,11.32246377,80.95238095,16.92339573,9.956381566,13.82170007,99.86382206,16.83848797,11.37225171,13.73311971,80.03557137,16.43104097,4.268639727,9.004952724,70.54673721,9.923011121
CA,California,1.923013163,23.17385217,1.973539391,2.870520038,1.805078287,24.50860252,2.088040747,2.909006283,2.671086516,9.301414794,3.616610368,2.957631923,2.675392562,16.66911801,3.902120625,3.472335254,4.321372962,10.26092055,4.83494615,4.110527518,2.195947105,30.56175415,4.777764699,4.372015899,3.371428178,10.7616299,4.68861482,3.685995324,4.412697537,17.27447217,5.367974663,4.696660935,4.091908424,11.13262343,4.330648331,3.823902774,4.194132409,12.12650369,5.265097668,4.262035083,2.88592163,10.12096969,3.669412173,3.045483522,2.491564275,13.55079127,3.208612177,2.8983482
CO,Colorado,1.168599725,12.44555072,1.033164583,1.45327714,1.157173026,23.29644729,0,1.63565733,3.185820204,0,2.951884286,2.84772792,2.297134325,11.01928375,8.622341445,3.812275527,3.127132136,10.62699256,4.728579535,3.567252621,0.281033078,59.91285403,6.483282393,3.703559315,2.499861119,5.149330587,10.84794793,4.21698294,3.290736577,24.40214739,7.034822371,4.703314896,5.39257981,9.62000962,7.828129077,5.742761342,5.097797215,14.6627566,8.481764207,5.85962535,5.563356028,9.425070688,9.992505621,6.300403226,5.520359612,28.42254856,9.820770931,6.949641826
CT,Connecticut,0.800512328,6.702412869,2.436647173,1.477628701,0.402349722,0,4.766444233,0.881523272,0.810602683,0,0,0.577417213,0.407199283,0,0,0.28848373,0.819369905,0,4.033071184,1.14965654,0.826685405,17.9910045,1.968116512,2.586950273,0,3.020235578,0,0.287323296,0.845201369,2.919708029,0,0.862539892,1.280847067,0,1.830496064,1.154367839,1.292602008,2.96912114,1.766160367,1.437318539,0.435142074,0,1.734906315,0.576984104,0.440878229,2.886836028,3.428767358,1.158312339
DE,Delaware,1.74855744,0,0,1.184553423,0,0,113.2686084,8.182349503,0,0,0,0,0,22.1116639,0,4.544938075,0,16.49257834,0,3.378378378,8.65201592,0,0,5.564830273,0,10.50972149,0,2.209212416,0,26.0552371,0,5.444843733,0,26.13695766,0,5.40949908,1.714971703,5.0530571,0,2.146613717,0,10.0050025,0,2.132878319,0,9.751340809,0,2.126980751
DC,District of Columbia,5.659309564,0,20.49180328,3.578457685,0,0,0,0,0,3.40367597,0,1.753770607,0,0,0,0,0,6.805035726,0,3.355704698,0,3.370407819,0,1.638538424,9.070294785,3.33000333,0,4.811547715,13.33333333,3.34001336,0,6.301197227,4.321521175,0,0,1.551831161,12.68498943,13.25381047,0,10.64476886,0,3.334444815,0,1.497230124,0,0,0,0
FL,Florida,1.578121664,3.464069897,6.364022062,2.797312342,2.609092688,4.518582671,7.14194618,3.7637057,3.004638411,7.651109411,1.672081024,3.261082244,2.337803213,10.32285623,4.432520705,3.921737168,3.073226609,10.85206189,3.62532288,4.237983991,2.698075993,13.45848575,2.857331253,4.242348061,4.253037223,9.4431891,1.696316872,4.22003901,2.743609676,8.918838569,1.842865041,3.331230284,4.719764012,6.555657532,1.387402386,3.921763304,3.61706168,7.102731323,1.511487304,3.409262479,4.323701088,7.002578222,2.368632024,3.982056756,3.057773941,5.079203835,3.760812335,3.382240854
