state,Location,White2008,Black2008,Hispanic2008,Total2008,White2009,Black2009,Hispanic2009,Total2009,2010White,2010Black,2010Hispanic,2010Total,2011__White,2011__Black,2011__Hispanic,2011__Total,2012__White,2012__Black,2012__Hispanic,2012__Total,2013__White,2013__Black,2013__Hispanic,2013__Total,2014__White,2014__Black,2014__Hispanic,2014__Total,2015__White,2015__Black,2015__Hispanic,2015__Total,2016__White,2016__Black,2016__Hispanic,2016__Total,2017__White,2017__Black,2017__Hispanic,2017__Total,2018__White,2018__Black,2018__Hispanic,2018__Total,2019__White,2019__Black,2019__Hispanic,2019__Total
US,United States,193573200,35033200,45753600,295269800,193827600,35385000,47231900,297997800,191844300,36217100,49603000,300806200,192080600,36478000,50801600,303080600,192305000,36797500,51773400,305376600,192379500,37122600,52764900,307505500,192419600,37599400,54059600,310212200,192593600,37923800,55241300,312777900,192537500,38081700,56144400,314466400,192336100,38408000,57560600,317022500,192117000,38655700,58483600,318498500,191757100,38872200,59102900,319249300
AL,Alabama,3108700,1169700,124800,4526900,3121200,1170200,143800,4569100,3133000,1212100,176400,4651400,3129700,1234700,181200,4676000,3145700,1220200,179400,4696000,3136100,1232900,184500,4705800,3129100,1241500,184300,4714100,3131400,1251500,188000,4730100,3121800,1252500,194500,4730100,3119100,1259900,195700,4741400,3115600,1257300,204800,4752600,3117200,1263500,211700,4767100
AK,Alaska,433100,18700,34600,654700,434000,25100,41700,668900,439300,20500,37900,684600,441500,19900,40600,697100,446300,23600,40300,706200,441000,23600,44100,705100,437700,21000,46600,706600,435400,22900,47600,707500,439200,20700,47800,714900,433000,18000,47400,710100,426100,20700,50200,709100,421100,15200,48900,701700
AZ,Arizona,3704300,214500,1922100,6363000,3702000,226100,1983800,6457900,3628600,236200,1857400,6256900,3634700,235400,1899500,6324500,3651000,247400,1920600,6386300,3675000,249900,1951200,6465700,3696900,256900,1998500,6556200,3714900,264200,2045900,6655100,3754900,270000,2087500,6760900,3761600,270200,2143400,6841300,3815100,297000,2213600,7004300,3843700,306600,2254800,7098000
AR,Arkansas,2096900,422400,152500,2769700,2101100,424900,168300,2796100,2113800,443000,178300,2834000,2122800,439500,185400,2849500,2122600,438300,192100,2860200,2116100,442400,197600,2868600,2119500,441900,201400,2880000,2106000,446400,204300,2882300,2114900,441600,210000,2895400,2109200,434100,220300,2910000,2110400,436900,224900,2921300,2108400,444200,226800,2922500
CA,California,15080500,2071300,13174300,35882000,14957800,2040100,13409700,36094800,14600800,2042700,13825100,36515700,14577300,2039700,14094900,36862800,14578700,2046600,14271100,37221500,14572300,2061400,14441900,37511300,14533900,2044300,14716500,37981600,14503600,2084000,14903200,38325100,14418700,2066000,15009300,38442400,14305700,2061600,15194400,38713900,14206900,2074900,15261300,38745900,14047400,2066300,15271400,38642700
CO,Colorado,3422900,160700,967900,4816700,3456700,171700,990300,4891000,3452800,172400,1016300,4916200,3482600,181500,1043800,4983900,3517600,188200,1057400,5045900,3558300,183600,1079700,5130200,3600200,194200,1106200,5217000,3646600,204900,1137200,5315400,3708800,207900,1149700,5398100,3727100,204600,1179000,5461100,3774700,212200,1200900,5555200,3804100,211100,1221900,5611800
CT,Connecticut,2498400,298400,410400,3383800,2485400,306700,419600,3403200,2467300,319600,467300,3463700,2455800,327100,479900,3466400,2440900,327200,495900,3479300,2419300,333500,508100,3479000,2394300,331100,525700,3480400,2366300,342500,540400,3478100,2342200,340100,546300,3465100,2320900,336800,566200,3478700,2298100,343000,576400,3466300,2268200,346400,583300,3453300
DE,Delaware,571900,168500,60800,844200,578700,170700,61800,855500,572100,180200,71900,871700,575000,180900,74700,880100,572800,181900,77200,888000,577900,184300,79600,898500,578400,190300,80700,905300,580400,191900,83300,918300,581900,191300,85000,924300,583100,197900,85900,931700,582600,199900,88900,937700,577700,205100,91100,940300
DC,District of Columbia,176700,301800,48800,558900,180200,306300,51700,567800,191200,293800,53600,570200,2.00E+05,292900,57000,583900,207600,293900,61500,596000,214500,296700,63500,610300,220500,300300,65700,623500,225000,299400,68100,634800,231400,301700,71600,644400,236500,301800,72500,657600,244800,299900,75600,667900,246100,302400,75200,671300
