name,state,pop2015,pop2016,pop2017,pop2018,pop2019
Alabama,AL,4858979,4863300,4874747,4887871,4903185
Alaska,AK,738432,741894,739795,737438,731545
Arizona,AZ,6828065,6931071,7016270,7171646,7278717
Arkansas,AR,2978204,2988248,3004279,3013825,3017804
California,CA,39144818,39250017,39536653,39557045,39512223
Colorado,CO,5456574,5540545,5607154,5695564,5758736
Connecticut,CT,3590886,3576452,3588184,3572665,3565287
Delaware,DE,945934,952065,961939,967171,973764
District of Columbia,DC,672228,681170,693972,702455,705749
Florida,FL,20271272,20612439,20984400,21299325,21477737
Georgia,GA,10214860,10310371,10429379,10519475,10617423
Hawaii,HI,1431603,1428557,1427538,1420491,1415872
Idaho,ID,1654930,1683140,1716943,1754208,1787065
Illinois,IL,12859995,12801539,12802023,12741080,12671821
Indiana,IN,6619680,6633053,6666818,6691878,6732219
Iowa,IA,3123899,3134693,3145711,3156145,3155070
Kansas,KS,2911641,2907289,2913123,2911505,2913314
Kentucky,KY,4425092,4436974,4454189,4468402,4467673
Louisiana,LA,4670724,4681666,4684333,4659978,4648794
Maine,ME,1329328,1331479,1335907,1338404,1344212
Maryland,MD,6006401,6016447,6052177,6042718,6045680
Massachusetts,MA,6794422,6811779,6859819,6902149,6892503
Michigan,MI,9922576,9928300,9962311,9995915,9986857
Minnesota,MN,5489594,5519952,5576606,5611179,5639632
Mississippi,MS,2992333,2988726,2984100,2986530,2976149
Missouri,MO,6083672,6093000,6113532,6126452,6137428
Montana,MT,1032949,1042520,1050493,1062305,1068778
Nebraska,NE,1896190,1907116,1920076,1929268,1934408
Nevada,NV,2890845,2940058,2998039,3034392,3080156
New Hampshire,NH,1330608,1334795,1342795,1356458,1359711
New Jersey,NJ,8958013,8944469,9005644,8908520,8882190
New Mexico,NM,2085109,2081015,2088070,2095428,2096829
New York,NY,19795791,19745289,19849399,19542209,19453561
North Carolina,NC,10042802,10146788,10273419,10383620,10488084
North Dakota,ND,756927,757952,755393,760077,762062
Ohio,OH,11613423,11614373,11658609,11689442,11689100
Oklahoma,OK,3911338,3923561,3930864,3943079,3956971
Oregon,OR,4028977,4093465,4142776,4190713,4217737
Pennsylvania,PA,12802503,12784227,12805537,12807060,12801989
Rhode Island,RI,1056298,1056426,1059639,1057315,1059361
South Carolina,SC,4896146,4961119,5024369,5084127,5148714
South Dakota,SD,858469,865454,869666,882235,884659
Tennessee,TN,6600299,6651194,6715984,6770010,6829174
Texas,TX,27469114,27862596,28304596,28701845,28995881
Utah,UT,2995919,3051217,3101833,3161105,3205958
Vermont,VT,626042,624594,623657,626299,623989
Virginia,VA,8382993,8411808,8470020,8517685,8535519
Washington,WA,7170351,7288000,7405743,7535591,7614893
West Virginia,WV,1844128,1831102,1815857,1805832,1792147
Wisconsin,WI,5771337,5778708,5795483,5813568,5822434
Wyoming,WY,586107,585501,579315,577737,578759
